"","x"
"1999",17
"2000",1
"2001",5
"2002",5
"2003",3
"2004",18
"2005",17
"2006",19
"2007",1
"2008",1
"2009",1
"2010",2
"2011",6
"2012",10
"2013",20
"2014",17
"2015",1
"2016",7
"2017",1
"2018",14
"2019",18
"2020",5
"2021",8
"2022",5
"2023",9
"2024",1
"2025",5
"2026",18
"2027",8
"2028",7
"2029",10
"2030",19
"2031",1
"2032",13
"2033",19
"2034",7
"2035",5
"2036",1
"2037",9
"2038",7
"2039",4
"2040",18
"2041",16
"2042",18
"2043",20
"2044",17
"2045",17
"2046",1
"2047",1
"2048",5
"2049",5
"2050",17
"2051",5
"2052",13
"2053",1
"2054",7
"2055",17
"2056",1
"2057",19
"2058",1
"2059",3
"2060",19
"2061",2
"2062",2
"2063",2
"2064",8
"2065",9
"2066",9
"2067",7
"2068",18
"2069",17
"2070",5
"2071",18
"2072",14
"2073",6
"2074",10
"2075",20
"2076",20
"2077",12
"2078",5
"2079",8
"2080",5
"2081",17
"2082",15
"2083",1
"2084",1
"2085",5
"2086",1
"2087",6
"2088",8
"2089",1
"2090",17
"2091",4
"2092",12
"2093",13
"2094",19
"2095",19
"2096",18
"2097",17
"2098",6
"2099",13
"2100",1
"2101",15
"2102",6
"2103",1
"2104",4
"2105",6
"2106",18
"2107",5
"2108",4
"2109",5
"2110",17
"2111",18
"2112",11
"2113",17
"2114",2
"2115",5
"2116",4
"2117",2
"2118",17
"2119",4
"2120",17
"2121",5
"2122",1
"2123",4
"2124",18
"2125",8
"2126",10
"2127",5
"2128",11
"2129",9
"2130",5
"2131",8
"2132",3
"2133",17
"2134",18
"2135",17
"2136",17
"2137",11
"2138",1
"2139",17
"2140",3
"2141",14
"2142",1
"2143",3
"2144",9
"2145",18
"2146",7
"2147",5
"2148",1
"2149",17
"2150",17
"2151",5
"2152",3
"2153",1
"2154",17
"2155",1
"2156",19
"2157",1
"2158",7
"2159",1
"2160",1
"2161",17
"2162",5
"2163",17
"2164",5
"2165",1
"2166",1
"2167",17
"2168",5
"2169",17
"2170",5
"2171",19
"2172",6
"2173",9
"2174",7
"2175",19
"2176",1
"2177",17
"2178",1
"2179",1
"2180",17
"2181",8
"2182",1
"2183",19
"2184",18
"2185",6
"2186",11
"2187",5
"2188",3
"2189",17
"2190",3
"2191",8
"2192",2
"2193",1
"2194",1
"2195",9
"2196",1
"2197",18
"2198",13
"2199",7
"2200",18
"2201",7
"2202",3
"2203",1
"2204",17
"2205",17
"2206",6
"2207",6
"2208",1
"2209",17
"2210",19
"2211",7
"2212",1
"2213",19
"2214",10
"2215",18
"2216",18
"2217",1
"2218",10
"2219",5
"2220",17
"2221",9
"2222",7
"2223",18
"2224",17
"2225",1
"2226",1
"2227",6
"2228",6
"2229",3
"2230",18
"2231",9
"2232",17
"2233",5
"2234",1
"2235",5
"2236",1
"2237",5
"2238",8
"2239",6
"2240",5
"2241",17
"2242",17
"2243",19
"2244",3
"2245",5
"2246",2
"2247",4
"2248",7
"2249",17
"2250",1
"2251",5
"2252",18
"2253",17
"2254",3
"2255",7
"2256",5
"2257",9
"2258",1
"2259",5
"2260",5
"2261",7
"2262",17
"2263",18
"2264",19
"2265",2
"2266",5
"2267",14
"2268",15
"2269",11
"2270",3
"2271",13
"2272",17
"2273",19
"2274",19
"2275",2
"2276",18
"2277",5
"2278",5
"2279",1
"2280",5
"2281",1
"2282",20
"2283",5
"2284",5
"2285",17
"2286",1
"2287",13
"2288",15
"2289",10
"2290",5
"2291",5
"2292",3
"2293",17
"2294",7
"2295",17
"2296",15
"2297",5
"2298",6
"2299",4
"2300",17
"2301",1
"2302",17
"2303",5
"2304",19
"2305",5
"2306",1
"2307",1
"2308",9
"2309",17
"2310",1
"2311",5
"2312",19
"2313",1
"2314",5
"2315",7
"2316",5
"2317",9
"2318",14
"2319",5
"2320",7
"2321",9
"2322",5
"2323",1
"2324",1
"2325",1
"2326",7
"2327",17
"2328",7
"2329",1
"2330",6
"2331",5
"2332",15
"2333",3
"2334",17
"2335",17
"2336",19
"2337",17
"2338",2
"2339",5
"2340",14
"2341",16
"2342",20
"2343",1
"2344",9
"2345",9
"2346",18
"2347",3
"2348",16
"2349",1
"2350",19
"2351",1
"2352",5
"2353",17
"2354",2
"2355",4
"2356",17
"2357",14
"2358",1
"2359",6
"2360",12
"2361",5
"2362",4
"2363",1
"2364",5
"2365",1
"2366",15
"2367",15
"2368",20
"2369",5
"2370",20
"2371",8
"2372",17
"2373",15
"2374",3
"2375",13
"2376",5
"2377",2
"2378",17
"2379",18
"2380",5
"2381",5
"2382",5
"2383",5
"2384",1
"2385",1
"2386",6
"2387",2
"2388",1
"2389",5
"2390",1
"2391",1
"2392",17
"2393",19
"2394",1
"2395",5
"2396",7
"2397",7
"2398",1
"2399",5
"2400",19
"2401",5
"2402",1
"2403",5
"2404",13
"2405",7
"2406",5
"2407",5
"2408",5
"2409",20
"2410",1
"2411",5
"2412",2
"2413",18
"2414",18
"2415",18
"2416",5
"2417",2
"2418",6
"2419",1
"2420",19
"2421",1
"2422",5
"2423",20
"2424",6
"2425",1
"2426",4
"2427",3
"2428",1
"2429",9
"2430",17
"2431",9
"2432",19
"2433",18
"2434",14
"2435",17
"2436",20
