,X1,cause,effect,doc_ind,sentence_ind
997,1095,Xbreather,Xtransformer,315,1
998,1096,Xbreather,Xcontrol,315,1
999,1097,Xseal,Xbreather,316,1
1000,1098,Xother,Xtransformer,317,1
1001,1099,Xother,Xtransformer,317,1
1002,1100,Xcontrol,Xtransformer,317,1
1003,1101,Xcontrol,Xtransformer,318,1
1004,1102,Xcontrol,Xtransformer,318,1
1005,1103,Xseal,Xbreather,319,1
1006,1104,Xlevellow,Xalarm,320,1
1007,1105,Xlevelinc,Xalarm,320,1
1008,1106,Xseal,Xind,321,1
1009,1107,Xseal,Xind,321,1
1010,1108,Xother,Xtransformer,322,1
1011,1109,Xother,Xtransformer,322,1
1012,1110,Xcontrol,Xtransformer,322,1
1013,1112,Xother,Xmaint,323,1
1014,1114,Xother,Xmaint,323,1
1015,1115,Xcontrol,Xother,323,1
1016,1116,Xcontrol,Xmaint,323,1
